Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,56.21,56.295,55.37,55.64,4060081,
2025-01-13,55.43,55.82,55.1213,55.63,2882382,
2025-01-14,55.76,56.41,55.62,56.22,4107504,
2025-01-15,57.23,57.33,56.31,56.4,4983331,
2025-01-16,56.46,56.88,56.33,56.4,2523032,
2025-01-17,57.12,57.27,56.675,56.9,3335465,
2025-01-21,57.23,57.552,57.12,57.44,3807695,
2025-01-22,57.38,57.995,57.29,57.66,2549501,
2025-01-23,57.66,57.715,57.02,57.61,2586041,
2025-01-24,57.57,57.88,57.26,57.7,2383543,
2025-01-27,56.99,57.7,56.783,57.63,4344751,
2025-01-28,57.75,58.185,57.24,57.31,3098847,
2025-01-29,57.35,57.55,57.07,57.32,2519625,
2025-01-30,57.87,58.63,57.67,58.56,3458678,
2025-01-31,58.56,58.7591,57.8,57.93,3277569,
2025-02-03,57.3805,58.05,56.81,57.76,3119340,
2025-02-04,57.75,58.05,57.34,57.86,2938066,
2025-02-05,57.91,58.77,57.84,58.72,2419888,
2025-02-06,58.91,59.69,58.8746,59.19,2399821,
2025-02-07,59.4,59.635,57.865,58.21,3072875,
2025-02-10,58.74,59.03,58.111,58.63,3732160,
2025-02-11,58.25,59.28,58.25,59.23,3112783,
2025-02-12,58.48,59.31,58.185,59.02,3507382,
2025-02-13,59.3,60.0658,59.02,59.83,3441543,
2025-02-14,60.03,60.03,59.33,59.39,2392678,
2025-02-18,59.6,59.96,59.09,59.59,3189184,
2025-02-19,59.73,59.97,59.08,59.74,3640974,
2025-02-20,59.64,59.97,57.835,58.22,7522022,
2025-02-21,58.725,58.725,55.78,56.59,7228788,
2025-02-24,56.805,57.19,56.19,56.75,4909327,
2025-02-25,56.55,57.7641,56.435,56.77,5508545,
2025-02-26,56.755,57.18,56.195,56.27,3955281,
2025-02-27,56.29,56.71,55.08,55.23,4956175,
2025-02-28,55.45,55.73,54.43,54.8,9240106,
2025-03-03,54.99,55.805,54.415,54.65,8543229,
2025-03-04,54.63,54.86,53.82,54.26,5049493,
2025-03-05,53.98,54.77,53.76,54.41,6079579,
2025-03-06,53.75,54.46,53.31,53.73,5722913,
2025-03-07,53.32,53.85,52.49,53.74,5261906,
2025-03-10,53.46,53.72,52.46,52.82,8144197,
2025-03-11,53.0,53.41,52.51,52.91,5369549,
2025-03-12,53.485,53.5199,52.445,53.04,4155942,
2025-03-13,53.04,53.265,52.1503,52.3,3718388,
2025-03-14,51.965,52.95,51.965,52.65,3851713,
2025-03-17,52.83,53.835,52.575,53.75,3832858,
2025-03-18,53.48,53.62,52.381,52.92,4044294,
2025-03-19,53.13,54.37,53.0,53.88,4368366,
2025-03-20,53.63,54.13,53.54,53.85,3098348,
2025-03-21,53.21,53.97,53.065,53.63,5952411,
2025-03-24,54.6,55.26,54.34,55.06,4315637,
2025-03-25,55.26,55.72,55.12,55.59,3636847,
2025-03-26,55.78,56.1057,54.97,55.07,3767718,
2025-03-27,55.09,55.795,54.27,55.64,4858985,
2025-03-28,55.4,55.72,54.82,55.15,6609980,
2025-03-31,55.0,56.99,54.72,56.59,7550640,
2025-04-01,56.2,57.3,55.84,57.21,5384045,
2025-04-02,56.59,58.14,56.58,57.47,3927835,
2025-04-03,55.68,57.39,55.48,56.64,6392078,
2025-04-04,56.64,57.2,54.46,54.51,8771495,
2025-04-07,53.51,55.88,51.72,54.22,9552467,
2025-04-08,55.13,56.24,53.935,54.59,7287636,
2025-04-09,54.5,58.97,54.1,58.52,10568778,
2025-04-10,57.84,58.91,56.29,58.66,7326475,
2025-04-11,58.82,60.306,58.39,59.84,7017567,
2025-04-14,60.21,60.49,59.31,59.83,4296089,
2025-04-15,60.0,60.72,59.86,60.45,4785448,
2025-04-16,60.36,60.68,58.97,59.44,4507982,
2025-04-17,59.64,60.31,59.44,59.68,7559603,
2025-04-21,59.45,59.56,58.055,58.73,3654270,
2025-04-22,59.22,60.56,59.125,60.41,3413767,
2025-04-23,61.215,61.95,60.63,61.045,4049619,
2025-04-24,61.2,62.09,60.24,61.97,3596605,
2025-04-25,61.58,61.94,60.5,60.9,4381248,
2025-04-28,60.88,61.08,59.25,59.81,4654253,
2025-04-29,59.53,60.6,59.5,60.51,3139715,
2025-04-30,60.12,61.19,59.455,61.03,4203704,
2025-05-01,60.76,61.19,60.06,60.5,5007160,
2025-05-02,61.04,61.74,60.48,61.22,3152142,
2025-05-05,61.18,61.41,60.65,61.05,2425698,
2025-05-06,60.63,60.98,60.36,60.8,2726377,
2025-05-07,60.94,61.73,60.79,61.24,3403327,
2025-05-08,61.45,62.3489,61.225,61.78,3671847,
2025-05-09,61.82,62.06,61.22,61.52,2553666,
2025-05-12,62.66,62.71,61.375,62.16,4203290,
2025-05-13,62.33,62.93,62.04,62.39,4002123,
2025-05-14,62.11,62.54,61.655,62.42,3745008,
2025-05-15,62.42,63.07,62.24,62.97,4601460,
2025-05-16,63.48,63.85,62.74,63.84,4626157,
2025-05-19,63.46,63.765,63.2,63.43,5970117,
2025-05-20,63.09,63.3,61.415,61.62,6823976,
2025-05-21,61.255,61.66,60.88,61.09,5440230,
2025-05-22,60.93,61.235,60.39,60.66,6517090,
2025-05-23,57.44,58.068,53.33,53.67,20812410,
2025-05-27,54.31,54.35,52.51,52.82,14141165,
2025-05-28,52.82,53.09,51.99,52.05,10025925,
2025-05-29,52.12,52.2334,51.14,51.42,7665478,
2025-05-30,51.35,51.71,50.7632,51.48,16258252,
2025-06-02,51.19,51.4,50.22,50.8,7199148,
2025-06-03,50.6,51.15,50.18,51.01,6664827,
2025-06-04,50.9,51.005,50.32,50.38,6313476,
2025-06-05,50.46,50.52,49.95,50.14,6127734,
2025-06-06,50.6,50.915,50.045,50.13,4982774,
2025-06-09,50.195,50.595,49.976859,50.15,8653290,
2025-06-10,50.1,50.325,49.54,50.28,7732043,
2025-06-11,50.21,50.91,50.0679,50.5,5733774,
2025-06-12,50.43,50.725,49.77,49.99,6668169,
2025-06-13,49.26,49.575,48.31,48.59,8554653,
2025-06-16,48.8,49.26,48.23,48.39,13257036,
2025-06-17,48.21,48.48,47.7,48.0,10554596,
2025-06-18,48.08,48.28,47.7032,47.88,6820206,
2025-06-20,48.34,49.145,47.825,47.97,14397448,
2025-06-23,47.98,48.1,47.33,47.72,7425727,
2025-06-24,48.16,48.68,47.82,48.65,6268156,
2025-06-25,48.895,48.9,48.065,48.14,4288534,
2025-06-26,48.14,48.36,47.48,48.24,7103234,
2025-06-27,48.4,48.98,48.06,48.18,8319853,
