Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,75.44,76.25,73.59,73.71,1953463.0,
2025-01-13,73.51,74.43,73.4,73.75,1689647.0,
2025-01-14,74.03,75.35,73.78,75.29,1653345.0,
2025-01-15,76.235,76.415,75.36,75.69,2592653.0,
2025-01-16,76.27,76.47,74.84,75.96,1747276.0,
2025-01-17,77.69,78.19,76.7,77.07,2017296.0,
2025-01-21,77.77,78.59,77.27,77.64,1751336.0,
2025-01-22,77.8,78.11,77.0,77.06,1220761.0,
2025-01-23,77.09,77.2,76.241,76.31,1717856.0,
2025-01-24,76.27,76.95,76.04,76.78,1381918.0,
2025-01-27,76.79,78.58,76.6,78.23,2277482.0,
2025-01-28,77.63,78.38,77.21,77.56,1707812.0,
2025-01-29,77.47,78.57,77.47,78.18,968772.0,
2025-01-30,79.04,79.5,78.81,79.32,1064355.0,
2025-01-31,78.88,79.29,78.31,78.55,1470362.0,
2025-02-03,77.84,78.41,76.9712,78.16,1340268.0,
2025-02-04,77.79,78.54,77.4,77.87,1451248.0,
2025-02-05,78.06,79.16,78.0,79.12,1605503.0,
2025-02-06,80.52,80.52,79.39,80.11,1468350.0,
2025-02-07,80.41,80.55,79.645,80.03,1330127.0,
2025-02-10,80.48,80.63,80.04,80.42,1471007.0,
2025-02-11,80.57,81.595,80.15,81.53,1437798.0,
2025-02-12,81.24,81.52,80.7,81.39,1642435.0,
2025-02-13,82.74,82.95,81.79,82.71,2419874.0,
2025-02-14,82.74,85.61,82.74,84.9,2466598.0,
2025-02-18,84.9,86.98,84.61,86.74,3025905.0,
2025-02-19,86.38,87.03,86.105,86.85,1515855.0,
2025-02-20,86.26,86.825,86.2,86.55,1761414.0,
2025-02-21,87.01,87.59,86.57,87.29,1774426.0,
2025-02-24,87.41,88.385,87.06,87.13,2376420.0,
2025-02-25,87.01,88.15,86.74,87.55,2344538.0,
2025-02-26,87.43,87.74,85.74,86.08,2023012.0,
2025-02-27,85.51,86.48,85.222,86.12,2220984.0,
2025-02-28,86.82,87.21,85.66,86.26,2235891.0,
2025-03-03,86.355,87.73,86.21,86.92,1935067.0,
2025-03-04,88.0,88.16,85.75,85.82,2426431.0,
2025-03-05,83.5,84.73,82.695,84.69,4594486.0,
2025-03-06,84.27,85.085,83.855,84.45,2967533.0,
2025-03-07,84.27,84.58,81.72,82.4,4142444.0,
2025-03-10,82.205,83.45,80.72,80.95,4144851.0,
2025-03-11,80.95,83.83,80.7,83.37,3670404.0,
2025-03-12,83.6,84.02,82.285,82.92,2753674.0,
2025-03-13,82.52,82.98,81.93,82.28,2183990.0,
2025-03-14,82.28,83.55,82.03,83.4,1774747.0,
2025-03-17,84.07,85.13,83.82,84.74,2892027.0,
2025-03-18,84.5,85.96,84.46,85.59,4034999.0,
2025-03-19,85.56,85.86,84.77,85.68,3790873.0,
2025-03-20,86.07,86.49,85.47,85.56,3398087.0,
2025-03-21,85.4,87.07,84.46,84.92,13187743.0,
2025-03-24,85.18,85.81,83.4,83.79,3331304.0,
2025-03-25,84.34,84.65,83.62,84.14,5198685.0,
2025-03-26,83.95,85.6,83.21,85.37,3098104.0,
2025-03-27,84.95,86.4,84.95,86.26,2355545.0,
