Date,Open,High,Low,Close,Volume
2025-12-17,347.89,357.8,347.8025,354.66,4371591
2025-12-18,355.87,358.34,351.3636,355.81,3352747
2025-12-19,355.525,357.55,351.59,355.86,8706340
2025-12-22,355.59,359.5706,354.7,357.53,2960799
2025-12-23,357.47,359.6699,350.58,352.42,3052537
2025-12-24,352.21,354.75,351.11,352.98,1166487
2025-12-26,352.5,356.23,352.2819,353.8,1455122
2025-12-29,353.37,356.68,351.16,353.16,2794007
2025-12-30,352.03,355.2699,350.009,352.51,2252633
2025-12-31,351.01,352.88,349.69,349.99,2116207
2026-01-02,350.675,351.12,331.64,333.3,5643504
2026-01-05,330.11,334.47,327.44,331.56,5012050
2026-01-06,330.0,336.4,329.5,335.99,3187432
2026-01-07,336.24,342.78,334.6226,338.1,3183059
2026-01-08,337.38,343.95,334.675,339.04,3107661
2026-01-09,335.875,335.875,328.0,333.95,3250098
2026-01-12,327.77,330.67,323.5,327.65,3541399
2026-01-13,322.49,323.0,307.91,309.93,7217338
2026-01-14,308.57,309.73,302.47,304.44,5712622
2026-01-15,304.97,305.82,301.4,304.09,3338268
